"","Date","Site Name","COUNTY","mean.AQI","mean.latitude","mean.longitude","Month","Year","Ozone","PM2.5"
"1",2018-01-01,"Bryson City","Swain",35,35.434767,-83.442133,1,2018,NA,"PM2.5"
"2",2018-01-01,"Castle Hayne","New Hanover",13,34.364167,-77.838611,1,2018,NA,"PM2.5"
"3",2018-01-01,"Clemmons Middle","Forsyth",24,36.026,-80.342,1,2018,NA,"PM2.5"
"4",2018-01-01,"Durham Armory","Durham",31,36.0329550008979,-78.904037,1,2018,NA,"PM2.5"
"5",2018-01-01,"Garinger High School","Mecklenburg",32,35.2401000008895,-80.785683,1,2018,"Ozone",NA
"6",2018-01-01,"Garinger High School","Mecklenburg",20,35.2401000008895,-80.785683,1,2018,NA,"PM2.5"
"7",2018-01-01,"Hattie Avenue","Forsyth",22,36.110693332,-80.2264378,1,2018,NA,"PM2.5"
"8",2018-01-01,"Leggett","Edgecombe",14,35.988278,-77.5843,1,2018,NA,"PM2.5"
"9",2018-01-01,"Millbrook School","Wake",34,35.856111,-78.574167,1,2018,"Ozone",NA
"10",2018-01-01,"Millbrook School","Wake",28,35.856111,-78.574167,1,2018,NA,"PM2.5"
"11",2018-01-01,"Pitt Agri. Center","Pitt",15,35.6412760008938,-77.360126,1,2018,NA,"PM2.5"
"12",2018-01-01,"West Johnston Co.","Johnston",24,35.59095,-78.4622,1,2018,NA,"PM2.5"
"13",2018-01-02,"Bryson City","Swain",51,35.434767,-83.442133,1,2018,NA,"PM2.5"
"14",2018-01-02,"Castle Hayne","New Hanover",15,34.364167,-77.838611,1,2018,NA,"PM2.5"
"15",2018-01-02,"Clemmons Middle","Forsyth",40,36.026,-80.342,1,2018,NA,"PM2.5"
"16",2018-01-02,"Durham Armory","Durham",37,36.0329550008979,-78.904037,1,2018,NA,"PM2.5"
"17",2018-01-02,"Frying Pan Mountain","Haywood",7,35.379167,-82.7925,1,2018,NA,"PM2.5"
"18",2018-01-02,"Garinger High School","Mecklenburg",31,35.2401000008895,-80.785683,1,2018,"Ozone",NA
"19",2018-01-02,"Garinger High School","Mecklenburg",38,35.2401000008895,-80.785683,1,2018,NA,"PM2.5"
"20",2018-01-02,"Hattie Avenue","Forsyth",25.5,36.110693332,-80.2264378,1,2018,NA,"PM2.5"
"21",2018-01-02,"Leggett","Edgecombe",20,35.988278,-77.5843,1,2018,NA,"PM2.5"
"22",2018-01-02,"Linville Falls","Avery",12,35.972347,-81.933072,1,2018,NA,"PM2.5"
"23",2018-01-02,"Millbrook School","Wake",31,35.856111,-78.574167,1,2018,"Ozone",NA
"24",2018-01-02,"Millbrook School","Wake",38.5,35.856111,-78.574167,1,2018,NA,"PM2.5"
"25",2018-01-02,"Pitt Agri. Center","Pitt",28,35.6412760008938,-77.360126,1,2018,NA,"PM2.5"
"26",2018-01-02,"West Johnston Co.","Johnston",35,35.59095,-78.4622,1,2018,NA,"PM2.5"
"27",2018-01-03,"Bryson City","Swain",44,35.434767,-83.442133,1,2018,NA,"PM2.5"
"28",2018-01-03,"Castle Hayne","New Hanover",18,34.364167,-77.838611,1,2018,NA,"PM2.5"
"29",2018-01-03,"Clemmons Middle","Forsyth",68,36.026,-80.342,1,2018,NA,"PM2.5"
"30",2018-01-03,"Durham Armory","Durham",58,36.0329550008979,-78.904037,1,2018,NA,"PM2.5"
"31",2018-01-03,"Garinger High School","Mecklenburg",21,35.2401000008895,-80.785683,1,2018,"Ozone",NA
"32",2018-01-03,"Garinger High School","Mecklenburg",59,35.2401000008895,-80.785683,1,2018,NA,"PM2.5"
"33",2018-01-03,"Hattie Avenue","Forsyth",55,36.110693332,-80.2264378,1,2018,NA,"PM2.5"
"34",2018-01-03,"Leggett","Edgecombe",23,35.988278,-77.5843,1,2018,NA,"PM2.5"
"35",2018-01-03,"Mendenhall School","Guilford",60,36.1090060008986,-79.802314,1,2018,NA,"PM2.5"
"36",2018-01-03,"Millbrook School","Wake",30,35.856111,-78.574167,1,2018,"Ozone",NA
"37",2018-01-03,"Millbrook School","Wake",61,35.856111,-78.574167,1,2018,NA,"PM2.5"
"38",2018-01-03,"Pitt Agri. Center","Pitt",34,35.6412760008938,-77.360126,1,2018,NA,"PM2.5"
"39",2018-01-03,"West Johnston Co.","Johnston",47,35.59095,-78.4622,1,2018,NA,"PM2.5"
"40",2018-01-04,"Bryson City","Swain",28,35.434767,-83.442133,1,2018,NA,"PM2.5"
"41",2018-01-04,"Castle Hayne","New Hanover",19,34.364167,-77.838611,1,2018,NA,"PM2.5"
"42",2018-01-04,"Clemmons Middle","Forsyth",42,36.026,-80.342,1,2018,NA,"PM2.5"
"43",2018-01-04,"Durham Armory","Durham",40,36.0329550008979,-78.904037,1,2018,NA,"PM2.5"
"44",2018-01-04,"Garinger High School","Mecklenburg",30,35.2401000008895,-80.785683,1,2018,"Ozone",NA
"45",2018-01-04,"Garinger High School","Mecklenburg",39,35.2401000008895,-80.785683,1,2018,NA,"PM2.5"
"46",2018-01-04,"Hattie Avenue","Forsyth",35,36.110693332,-80.2264378,1,2018,NA,"PM2.5"
"47",2018-01-04,"Leggett","Edgecombe",23,35.988278,-77.5843,1,2018,NA,"PM2.5"
"48",2018-01-04,"Mendenhall School","Guilford",25,36.1090060008986,-79.802314,1,2018,NA,"PM2.5"
"49",2018-01-04,"Millbrook School","Wake",32,35.856111,-78.574167,1,2018,"Ozone",NA
"50",2018-01-04,"Millbrook School","Wake",39,35.856111,-78.574167,1,2018,NA,"PM2.5"
"51",2018-01-04,"Pitt Agri. Center","Pitt",25,35.6412760008938,-77.360126,1,2018,NA,"PM2.5"
"52",2018-01-04,"West Johnston Co.","Johnston",30,35.59095,-78.4622,1,2018,NA,"PM2.5"
"53",2018-01-05,"Bryson City","Swain",30,35.434767,-83.442133,1,2018,NA,"PM2.5"
"54",2018-01-05,"Castle Hayne","New Hanover",15,34.364167,-77.838611,1,2018,NA,"PM2.5"
